latitude,longitude,temp_mean,temp_std,temp_max,temp_min,pm25_mean,pm25_std,pm25_max,pm25_min,pm10_mean,pm10_std,pm10_max,pm10_min,epa_mean,epa_max,duaod550_mean,duaod550_std,node_id,epa_index,math_danger_score,cluster,ed_score
27.200000000000045,52.79999999999997,24.80533914233579,7.0047839212003735,40.80264,7.305700000000002,31.24654302071168,11.86325752596302,74.46819,4.2054666,79.6363102189781,48.92774333985079,393.36882,7.604687500000001,2.3202554744525545,5,0.1324828471032846,0.1226768233205453,27.20_52.80,5,80.0,2,80.0
27.200000000000045,53.19999999999997,23.39544314781024,8.45638687390381,41.68350000000004,2.925800000000038,29.186395010127736,12.11870905193827,105.97499,2.431877,74.9518461495438,49.65308078294554,396.06684,2.75945,2.2317518248175183,5,0.120640280770073,0.1128057862145798,27.20_53.20,5,80.0,2,80.0
27.200000000000045,53.599999999999966,22.1737564872263,8.948587770732544,41.17324000000002,1.081080000000043,26.91688757691606,11.589906784004258,70.94276,1.1334595,74.56583020866788,54.27876540161939,506.7092,1.3732664,2.167883211678832,6,0.1098613106634124,0.1033721454760398,27.20_53.60,6,97.5,4,97.5
27.200000000000045,53.999999999999964,21.64225333941608,9.525437428494884,41.06313,0.1767800000000079,24.38033343372263,11.981871284251245,77.432965,0.0440554,74.75121765274636,71.20007372562895,774.0268000000001,0.04415361,2.114051094890511,6,0.1027039485046532,0.0967600916144528,27.20_54.00,6,97.5,4,97.5
27.200000000000045,54.39999999999996,22.345611441605865,9.354204120115837,41.80874,1.2197500000000332,24.630499014790143,12.09800346244176,68.66323,0.28582106,69.94606344169708,56.801224151389455,536.25723,0.3307897,2.095802919708029,6,0.1004970427330292,0.0926060384203909,27.20_54.40,6,97.5,4,97.5
27.200000000000045,54.79999999999996,22.921017500000023,9.416772608346664,42.38247000000001,1.230130000000031,23.27958199529197,11.182173092673317,67.57393,0.10940751,64.28103421883212,46.09215891606579,264.31758,0.12751764,2.0273722627737225,4,0.0985848129597627,0.0889688428557445,27.20_54.80,4,58.0,4,58.0
27.200000000000045,55.19999999999996,23.740807947080317,9.133480993306524,42.374900000000025,3.391260000000045,23.78680566663321,11.216969538067303,71.04995,0.10748083,62.81684110729926,42.87719118759288,256.69482,0.1075616,2.015510948905109,4,0.1004984352815693,0.0885559747772433,27.20_55.20,4,58.0,4,58.0
27.200000000000045,55.59999999999996,25.153129708029223,9.274849692247155,44.74062000000004,4.965480000000014,26.5273481670073,12.103667540366825,76.32312999999999,0.66354444,63.88482494224453,41.50457894417168,263.35290000000003,0.6637744999999999,2.1322992700729926,4,0.1041579072125912,0.0897224965634489,27.20_55.60,4,58.0,4,58.0
27.200000000000045,55.99999999999996,25.925710337591266,8.648254650188425,44.571680000000015,6.522120000000029,31.84484307737226,14.69910424005683,95.37549,1.6909963,67.28277224771898,39.713372498088575,272.77784,1.6909919,2.345802919708029,4,0.1053764777410583,0.0895699316609348,27.20_56.00,4,58.0,4,58.0
27.200000000000045,56.39999999999996,26.15436989051097,7.949684331980653,43.6327,7.746730000000014,29.51315453932482,12.961942225636887,94.23192,1.0512237,61.22212193175182,36.15129202131683,243.6588,1.0512192,2.2354014598540144,4,0.1054230040403284,0.0879954363956662,27.20_56.40,4,58.0,4,58.0
27.200000000000045,56.79999999999996,25.526053220802943,8.30340637794552,44.65176000000002,6.635400000000004,22.65158090821168,11.065828961438465,90.92945,0.1247257,53.03041441062957,35.731149001628296,224.70208,0.12478515,1.948905109489051,4,0.1038653992153284,0.0859303576074785,27.20_56.80,4,58.0,4,58.0
27.200000000000045,57.19999999999995,24.654825793795645,8.408370723519901,44.26310000000001,5.3981,20.725043829981757,10.012570011875596,75.930885,0.10149806,52.752149916003646,36.027581515486105,246.76316,0.10159304,1.8686131386861315,4,0.0972211932678832,0.0805211593777488,27.20_57.20,4,58.0,4,58.0
27.200000000000045,57.59999999999995,23.60265422445258,8.378149228470718,41.69204000000002,3.705700000000036,18.181807077691605,8.802610166884765,57.378973,0.02171005,50.85729408440694,35.16034944924303,247.56858000000005,0.07322846,1.7718978102189782,4,0.0853837154800182,0.0710807694637501,27.20_57.60,4,58.0,4,58.0
27.200000000000045,57.99999999999995,23.85599770072995,8.847379840284331,42.56777,2.739900000000034,16.254254471177006,7.843949719956038,51.45862,0.5867464,45.52502651583942,32.9866885514355,255.33316,0.58902566,1.7116788321167884,4,0.080768943354927,0.0663548242479962,27.20_58.00,4,58.0,4,58.0
27.200000000000045,58.39999999999995,25.11882321167885,9.32278394772289,44.079740000000015,2.9303199999999947,21.20486857419708,17.879597059629727,141.00736,0.40295142,100.54409733713504,171.93593894069454,1378.9277,0.4239761999999999,2.0784671532846715,6,0.0954802680018248,0.0845583471656233,27.20_58.40,6,97.5,4,97.5
27.200000000000045,58.79999999999995,25.64640285583944,9.625025558702436,45.45083,3.516260000000045,19.51485010159672,13.782588774388358,126.53642999999998,0.32403855,79.65399730976277,112.13397592861205,920.3472,0.3470102,1.9644160583941608,6,0.096663806359489,0.0898581603686164,27.20_58.80,6,97.5,4,97.5
27.200000000000045,59.199999999999946,25.77420080291973,9.71931825925048,45.68325000000005,4.609520000000032,22.444802380693428,22.71615684203149,226.05023,0.4935314399999999,109.79509905763686,216.7024804195956,2265.5965,0.6737461699999999,2.0921532846715327,6,0.1010582866435219,0.1064064192618896,27.20_59.20,6,97.5,4,97.5
27.200000000000045,59.599999999999945,25.45551594890513,9.691838580836688,45.05898000000002,2.7515999999999963,19.00577059689781,14.800681058031056,120.01286,1.357934,73.77725874333942,107.2797530031184,1098.4465,1.5069721,1.907846715328467,6,0.0939375642781934,0.1017802884045273,27.20_59.60,6,97.5,4,97.5
27.200000000000045,59.99999999999994,24.968006186131408,9.86870231638977,44.63906000000003,0.7408700000000294,17.600179796806568,12.791713867240071,94.64066,1.2171443,58.61026934543796,76.37277283062451,653.43505,1.9137436,1.781021897810219,6,0.0884663211941605,0.0928937121066036,27.20_60.00,6,97.5,4,97.5
27.200000000000045,60.39999999999994,24.779684908759144,9.675169031483833,44.72378000000003,1.507470000000012,16.344556448722628,11.181072216369593,83.70885999999999,2.2490068,49.97583692025548,61.16451668510426,452.80942,2.803475,1.6797445255474452,6,0.0847093548462591,0.0834748376075011,27.20_60.40,6,97.5,4,97.5
