index,air_quality_PM2.5,temperature_celsius,apparent_temp_c,air_quality_us-epa-index,uv_index,ed_score
air_quality_PM2.5,1.0,0.0816380615133253,0.04457366913904205,0.8986850693045012,0.1321319677393574,0.6706340915484552
temperature_celsius,0.0816380615133253,1.0,0.9867651030624984,0.09907586088731288,0.4547055799707178,0.5418600590042472
apparent_temp_c,0.04457366913904205,0.9867651030624984,1.0,0.06417608436161786,0.39079231047862856,0.5157984998863041
air_quality_us-epa-index,0.8986850693045012,0.09907586088731288,0.06417608436161786,1.0,0.1553070033834882,0.7370712098927298
uv_index,0.1321319677393574,0.4547055799707178,0.39079231047862856,0.1553070033834882,1.0,0.4828703894542767
ed_score,0.6706340915484552,0.5418600590042472,0.5157984998863041,0.7370712098927298,0.4828703894542767,1.0
