location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index
Kabul,4,18.670245683677646,20.0,1.0,3.0
Kabul,5,18.670245683677646,20.0,1.0,3.0
Kampala,0,31.184621010891934,20.0,1.0,3.0
Kampala,0,31.184621010891934,20.0,1.0,3.0
Kathmandu,3,45.63468042711443,20.0,1.0,3.0
Kathmandu,0,45.63468042711443,20.0,1.0,3.0
Khartoum,5,44.87769333129883,20.0,1.0,3.0
Khartoum,5,44.87769333129883,20.0,1.0,3.0
Kigali,0,26.771110372340427,20.0,1.0,3.0
Kigali,5,26.771110372340427,20.0,1.0,3.0
Kingston,1,11.007231837869927,20.0,1.0,3.0
Kingstown,1,11.216248799560548,20.0,1.0,3.0
Kingstown,0,11.216248799560548,20.0,1.0,3.0
Kingstown,1,11.216248799560548,20.0,1.0,3.0
Kinshasa,1,24.973304405365194,20.0,1.0,3.0
Kiyabo,3,28.5,20.0,1.0,3.0
Koror,1,4.258136094674557,20.0,1.0,3.0
Koror,1,4.258136094674557,20.0,1.0,3.0
Krasnyy Turkmenistan,5,6.7,20.0,1.0,3.0
Kuala Lumpur,3,58.85054593976423,20.0,1.0,3.0
Kuala Lumpur,0,58.85054593976423,20.0,1.0,3.0
Kuwait,5,176.7,20.0,1.0,3.0
Kuwait City,3,91.1366399979655,20.0,1.0,3.0
Kuwait City,5,91.1366399979655,20.0,1.0,3.0
Kyiv,2,15.485458167425664,20.0,1.0,3.0
Kyiv,4,15.485458167425664,20.0,1.0,3.0
Laos,0,24.117366667429607,20.0,1.0,3.0
Laos,0,24.117366667429607,20.0,1.0,3.0
Libreville,1,14.13288948018446,20.0,1.0,3.0
Libreville,0,14.13288948018446,20.0,1.0,3.0
Lilongwe,0,9.78999335106383,20.0,1.0,3.0
Lilongwe,0,9.78999335106383,20.0,1.0,3.0
Lima,0,22.39716198023703,20.0,1.0,3.0
Lisbon,2,16.416651131824235,20.0,1.0,3.0
Lisbon,1,16.416651131824235,20.0,1.0,3.0
Ljubljana,4,23.164122339918258,20.0,1.0,3.0
Ljubljana,2,23.164122339918258,20.0,1.0,3.0
Lom,2,13.930695265990039,20.0,1.0,3.0
Lom,4,13.930695265990039,20.0,1.0,3.0
Lom,2,13.930695265990039,20.0,1.0,3.0
Lom,2,13.930695265990039,20.0,1.0,3.0
Lome,1,6.2,20.0,1.0,3.0
Lome,1,6.2,20.0,1.0,3.0
London,4,14.7845,20.0,1.0,3.0
London,2,14.7845,20.0,1.0,3.0
Luanda,3,29.997805850049282,20.0,1.0,3.0
Luanda,0,29.997805850049282,20.0,1.0,3.0
Lusaka,0,11.441602393363384,20.0,1.0,3.0
Lusaka,0,11.441602393363384,20.0,1.0,3.0
Luxembourg,2,14.137576769534672,20.0,1.0,3.0
Luxembourg,4,14.137576769534672,20.0,1.0,3.0
Madrid,4,15.46065824404676,20.0,1.0,3.0
Madrid,2,15.46065824404676,20.0,1.0,3.0
Majuro,0,6.038460106763433,20.0,1.0,3.0
Majuro,0,6.038460106763433,20.0,1.0,3.0
Malabo,1,12.22746347966897,20.0,1.0,3.0
Malabo,0,12.22746347966897,20.0,1.0,3.0
Male,1,2.15,20.0,1.0,3.0
Male,1,2.15,20.0,1.0,3.0
Managua,1,8.592064343163539,20.0,1.0,3.0
Managua,1,8.592064343163539,20.0,1.0,3.0
Manama,3,63.87229387892054,20.0,1.0,3.0
Manama,0,63.87229387892054,20.0,1.0,3.0
Manila,3,27.810459998982743,20.0,1.0,3.0
Manila,3,27.810459998982743,20.0,1.0,3.0
Maputo,2,11.071788563829788,20.0,1.0,3.0
Maputo,0,11.071788563829788,20.0,1.0,3.0
Maseru,1,20.985466662597656,20.0,1.0,3.0
Maseru,0,20.985466662597656,20.0,1.0,3.0
Mbabane,3,18.526006665649415,20.0,1.0,3.0
Mbabane,2,18.526006665649415,20.0,1.0,3.0
Mbabane,0,18.526006665649415,20.0,1.0,3.0
Melbourne,2,3.0,20.0,1.0,3.0
Melbourne,2,3.0,20.0,1.0,3.0
Mexico (Grupo Mexico),1,10.3,20.0,1.0,3.0
Mexico City,1,45.07346256888487,20.0,1.0,3.0
Mexico City,1,45.07346256888487,20.0,1.0,3.0
Meyungs,1,0.99375,20.0,1.0,3.0
Minsk,4,13.888015978568085,20.0,1.0,3.0
Minsk,2,13.888015978568085,20.0,1.0,3.0
Mogadishu,1,11.633106666666666,20.0,1.0,3.0
Mogadishu,0,11.633106666666666,20.0,1.0,3.0
Moldova,5,2.5,20.0,1.0,3.0
Mombasa,1,5.15,20.0,1.0,3.0
Mombasa,5,5.15,20.0,1.0,3.0
Monaco,1,9.21998663229101,20.0,1.0,3.0
Monaco,4,9.21998663229101,20.0,1.0,3.0
Monrovia,1,18.383708388878407,20.0,1.0,3.0
Monrovia,0,18.383708388878407,20.0,1.0,3.0
Montevideo,2,11.553149133979401,20.0,1.0,3.0
Montevideo,0,11.553149133979401,20.0,1.0,3.0
Morocco City,5,8.2,20.0,1.0,3.0
Moroni,1,8.579142287107224,20.0,1.0,3.0
Moroni,0,8.579142287107224,20.0,1.0,3.0
Moroni,1,8.579142287107224,20.0,1.0,3.0
Moroni,1,8.579142287107224,20.0,1.0,3.0
Moroni,1,8.579142287107224,20.0,1.0,3.0
Moscow,2,42.47353723404255,20.0,1.0,3.0
Moscow,4,42.47353723404255,20.0,1.0,3.0
Muscat,5,35.74092952432024,20.0,1.0,3.0
Muscat,5,35.74092952432024,20.0,1.0,3.0
N'djamena,5,46.56079681072261,20.0,1.0,3.0
N'djamena,3,46.56079681072261,20.0,1.0,3.0
